Designator,Footprint,Quantity,Value,LCSC Part #
A1,RaspberryPi_Pico_W_SMD_HandSolder,1,RaspberryPi_Pico_W,
BZ1,Buzzer_15x7.5RM7.6,1,Buzzer,
"C1, C9",1206,2,1u,
C10,0603,1,10u,
"C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C4, C5, C6, C7",0603,20,100n,
"C2, C8",CP_Radial_D6.3mm_P2.50mm,2,47u,
C3,0603,1,100p,
"D1, D2",0603,2,LED,
"D3, D6",D_SMA,2,D_Schottky,
D4,D_SMA,1,SMAJ30A,
D5,LED_D5.0mm,1,LED,
D7,D_SMA,1,SMAJ5.0A,
J1,TerminalBlock_RND_205-00287_1x02_P5.08mm_Horizontal,1,Screw_Terminal_01x02,
J3,PinHeader_1x14_P2.54mm_Vertical,1,Conn_01x14_Pin,
J4,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
J5,DSUB-15_Socket_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset4.94mm,1,DA15_Pins_MountingHoles,
"J6, J7",DSUB-9_Pins_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset4.94mm,2,DE9_Pins_MountingHoles,
J8,BarrelJack_GCT_DCJ200-10-A_Horizontal,1,Barrel_Jack_Switch,
L1,L_12x12mm_H8mm,1,390u,
"NTC1, NTC2, NTC3",R_LDR_5.1x4.3mm_P3.4mm_Vertical,3,Thermistor_NTC,
Q1,SOT-23,1,BC817,
Q2,SOT-23,1,BC807,
"R1, R12, R13, R14, R15, R16, R17, R4, R5, R7, R8",0603,11,10k,
R10,0603,1,3k,
"R11, R3",0603,2,1k,
R2,0603,1,100k,
R6,0603,1,"1,5",
R9,0603,1,100,
SW1,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1,RotaryEncoder,
"SW2, SW3, SW4",SW_Cherry_MX_1.00u_PCB,3,SW_Push,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,MC34063AD,
"U2, U3",TSSOP-16_4.4x5mm_P0.65mm,2,MAX3221,
