Designator,Mid X,Mid Y,Rotation,Layer
A1,68.975,-105.33,0.0,top
BZ1,186.6,-135.8,90.0,top
C1,187.875,-122.06,270.0,top
C10,178.4,-130.4,270.0,top
C11,82.6,-103.6,0.0,top
C12,55.0,-121.1,180.0,top
C13,82.6,-102.1,0.0,top
C14,54.975,-126.5,180.0,top
C15,82.575,-95.6,0.0,top
C16,54.975,-128.0,180.0,top
C17,107.35,-92.1,90.0,bottom
C18,105.85,-94.45,90.0,bottom
C19,135.9375,-91.825,90.0,bottom
C2,189.85,-98.4,0.0,top
C20,134.4375,-94.75,90.0,bottom
C21,96.6,-91.475,270.0,bottom
C22,125.15,-91.8,270.0,bottom
C23,105.85,-91.25,90.0,bottom
C24,103.55,-96.7,0.0,bottom
C25,134.4375,-91.35,90.0,bottom
C26,132.175,-96.925,0.0,bottom
C3,181.55,-122.535,180.0,top
C4,55.0,-119.6,180.0,top
C5,55.0,-113.6,180.0,top
C6,52.275,-91.4,180.0,top
C7,55.0,-115.1,180.0,top
C8,192.55,-106.4,180.0,top
C9,189.875,-114.035,270.0,top
D1,196.0,-131.2,45.0,top
D2,193.556847,-128.843153,45.0,top
D3,83.2,-90.2,270.0,top
D4,192.85,-120.8,90.0,top
D5,81.53,-145.2,0.0,top
D6,177.475,-119.935,270.0,top
D7,192.85,-113.7,270.0,top
J1,180.16,-96.0,0.0,bottom
J3,88.8,-105.63,180.0,top
J4,169.8,-105.85,0.0,top
J5,166.405,-84.08,180.0,bottom
J6,97.64,-84.08,180.0,bottom
J7,130.04,-84.08,180.0,bottom
J8,194.85,-88.95,180.0,bottom
L1,181.775,-109.735,0.0,top
NTC1,167.8,-94.125,90.0,bottom
Q1,175.9,-130.0,270.0,top
Q2,175.9,-126.0875,270.0,top
R1,198.4,-125.8,90.0,top
R10,185.675,-123.475,270.0,top
R11,184.075,-123.46,90.0,top
R12,82.6,-105.1,0.0,top
R13,55.0,-122.6,180.0,top
R14,82.6,-100.6,0.0,top
R15,54.975,-125.0,180.0,top
R16,82.575,-97.2,0.0,top
R17,54.975,-129.5,180.0,top
R2,195.556847,-125.843153,90.0,top
R3,55.425,-104.125,0.0,top
R4,55.0,-118.1,180.0,top
R5,55.0,-112.1,180.0,top
R6,187.375,-118.235,90.0,top
R7,55.375,-91.4,0.0,top
R8,55.0,-116.6,180.0,top
R9,178.4,-127.375,90.0,top
SW1,168.75,-142.0,0.0,top
SW2,142.86,-138.69,0.0,top
SW3,123.76,-138.69,0.0,top
SW4,104.76,-138.69,0.0,top
U1,182.925,-119.105,270.0,top
U2,101.2,-93.2,270.0,bottom
U3,129.8,-93.4,270.0,bottom
